A,B
"(280, -30, -7, 0)","[199.95321456664206, 0, 412]"
"(280, -30, -6, 0)","[85.82049067491688, 0, 3]"
"(280, -20, -5, 0)","[199.94860707180004, 0, 345]"
"(280, -20, -4, 0)","[199.9185209458115, 0, 67]"
"(280, -20, -3, 0)","[199.9235292112825, 0, 82]"
"(280, -10, -2, 0)","[199.94369788854038, 0, 412]"
"(280, -10, -1, 0)","[199.93773143664498, 0, 344]"
"(280, -10, 0, 0)","[199.93093721791465, 0, 344]"
"(280, -10, 1, 0)","[199.92318672237354, 0, 409]"
"(280, -20, 2, 0)","[199.90637339741824, 0, 81]"
"(280, -20, 3, 0)","[199.87868779702075, 0, 65]"
"(280, -20, 4, 0)","[199.90959522227607, 0, 342]"
"(210, -30, 5, 0)","[87.61115686736623, 0, 4]"
"(210, -30, 6, 0)","[199.74595848164324, 0, 410]"
"(210, -40, 7, 0)","[199.8199221947439, 0, 103]"
"(210, -50, 8, 0)","[199.7886788450695, 0, 38]"
"(210, -60, 9, 0)","[-896.8145413969739, 0, 3]"
"(210, -70, 10, 0)","[-897.1034654519027, 16.728145402065152, 10]"
"(140, -60, -1, 0)","[199.44324770808208, 0, 144]"
"(140, -60, 0, 0)","[199.41426644522068, 0, 144]"
"(140, -60, 1, 0)","[199.37799057323846, 0, 170]"
"(140, -70, 2, 0)","[90.3201225095954, 0, 1]"
"(350, -30, -3, 0)","[199.94450470330332, 0, 375]"
"(350, -30, 2, 0)","[199.93302570291183, 0, 375]"
"(280, -80, 2, 0)","[199.82035891882907, 0, 636]"
"(210, -90, -3, 0)","[199.64166512775074, 0, 636]"
"(130, -100, 1, 0)","[198.9393546058395, 0, 246]"
"(120, -110, 3, 0)","[-16.657236321096452, 198.85978380388718, 440]"
"(110, -120, 6, 0)","[-24.348847443762835, 106.10083530672307, 62]"
